Organization Name,Industries,Headquarters Location,Estimated Revenue,Operating Status,Founded Date,Investment Stage,Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Total Funding Amount,Growth Category,Growth Confidence,Monthly visit,Monthly Visit Growth,Visit Duration Growth,Patents Granted,Visit Duration
"Borah, Dani and Bhagat Technologies",Ports,"Punjab, India",$10B+,Active,2017,IPO,Transportation,0,—,11-50,7,Growing,$50M to $100M,—,—,1125314,330.3559404619011,5038.726288099135,5,1765
"Krishnan, Gopal and Venkataraman Pvt Ltd",Aviation,"Jammu and Kashmir, India",$50M to $100M,Active,2023,—,Transportation,0,—,251-500,2,Growing,$100M to $500M,High,Medium,308116,590.5695748201198,3975.738900534448,5,101
Wable and Sons Labs,Ayush,"Andhra Pradesh, India",$10M to $50M,Active,2018,—,Healthcare,0,—,51-100,0,—,$10M to $50M,Growing,Low,1776359,722.6309388558557,6049.588537667862,9,2125
Virk-Sule Technologies,Education and Training,"Haryana, India",$1M to $10M,Active,2017,Series A,Education,4,"Ishanvi Saha, Darsh Minhas, Henry Kalla, Janani Chandra",101-250,2,Early Stage Venture,$1M to $5M,—,Low,1615894,558.1970977988375,7713.276286260465,1,2127
"Gokhale, Parekh and Bajwa Technologies",Healthcare,"Manipur, India",$50M to $100M,Active,2021,Series B,Healthcare,0,—,1001-5000,6,M&A,$500K to $1M,Medium,—,424898,533.3715233621732,8196.643808124523,2,461
"Sen, Gopal and D’Alia Solutions",Science and Technology,"Rajasthan, India",$10B+,Active,2017,IPO,Technology,1,Isaac Bal,1-10,6,M&A,$10M to $50M,—,High,1270304,1672.5381951333964,6271.82775287745,5,885
"Dara, Dube and Suresh Solutions",Tourism and Hospitality,"Punjab, India",$100M to $500M,Active,2022,Series C,Hospitality,3,"Rachita Sankar, Turvi Lad, Harish Bhatia",11-50,5,Growing,$100M to $500M,—,—,796661,1474.841898594496,616.7731753031637,3,269
"Kumer, Muni and Viswanathan Labs",Electronics System Design & Manufacturing,"Jharkhand, India",$100M to $500M,Active,2018,—,Electronics,5,"Dalbir Wadhwa, Krishna Bhandari, Sathvik Parmer, Nilima Karan, Hemangini Amble",51-100,6,Early Stage Venture,$10M to $50M,Medium,—,806380,1188.4817790660252,1666.3167656255666,7,2009
Ramakrishnan-Bandi Solutions,Consumer Durables,"Rajasthan, India",$10M to $50M,Active,2018,Seed,Consumer Goods,0,—,501-1000,6,M&A,$10M to $50M,Medium,Low,268524,18.94762046636525,8496.865302237622,6,1095
"Vora, Dhawan and Kohli Innovations",Media and Entertainment,"Karnataka, India",Less than $1M,Active,2017,Seed,Media,1,Upma Prasad,101-250,1,Seed,$1M to $5M,Medium,Low,1513219,1787.7248962657961,5306.43460816109,5,1681
Dua PLC Solutions,Real Estate,"Sikkim, India",$50M to $100M,Active,2020,IPO,Real Estate,3,"Bina Gera, Bakhshi Sarraf, Samarth Chander",1001-5000,3,M&A,$100K to $500K,Growing,High,1412908,1761.6662051804317,3656.557033309307,2,444
"Dash, Hora and Raju Labs",Roads,"Assam, India",Less than $1M,Active,2017,Series A,Infrastructure,1,Girindra Kumar,501-1000,6,—,$500K to $1M,Medium,Low,989265,1307.6188373199343,239.75830569056598,6,866
Bali PLC Innovations,Retail,"Assam, India",$1M to $10M,Active,2021,Seed,Commerce,2,"Ekalinga Dhawan, Lucky Sangha",51-100,5,Growing,$500K to $1M,—,—,1118348,546.809860283401,2156.0355262086982,10,2491
Vala-Chada Innovations,Healthcare,"Jammu and Kashmir, India",$10B+,Active,2018,IPO,Healthcare,5,"Saanvi Lata, Ekiya Som, Lila Divan, Sanaya Arora, Bhavini Issac",1-10,1,—,$100M to $500M,Medium,—,1749763,1877.5267592165046,8830.963430762673,0,2061
"Mody, Salvi and Issac Labs",Banking,"Punjab, India",$50M to $100M,Active,2017,Series C,Financial Services,0,—,501-1000,5,—,$100M to $500M,High,Medium,631992,303.3970409064967,4889.229093592803,6,322
Mane-Mistry Pvt Ltd,Aviation,"Haryana, India",$100M to $500M,Active,2018,—,Transportation,3,"Parth Kothari, Ubika Roy, Meghana Chacko",501-1000,0,—,$50M to $100M,—,Medium,688931,220.58443764845975,8444.173361756935,2,527
Baria-Sangha Technologies,Food Processing,"Madhya Pradesh, India",Less than $1M,Active,2018,—,Food and Beverage,2,"Amaira Sharaf, Yug Nath",11-50,5,—,$1M to $5M,Medium,—,795441,1807.5428899271458,2044.943170253886,7,2445
Sinha-Mahal Innovations,Telecommunications,"Karnataka, India",$1B to $10B,Active,2022,Series A,Telecommunications,5,"Damyanti Luthra, Chameli Bandi, Pahal Vaidya, David Mody, Peter Tiwari",11-50,7,Growing,$0,Growing,High,1813978,456.2741299597325,4337.134878995304,10,98
"Badami, Comar and Gopal Pvt Ltd",Pharmaceuticals,"Arunachal Pradesh, India",$50M to $100M,Active,2023,—,Pharmaceuticals,5,"Jyoti Wali, Frederick Varma, Hemani Zachariah, Vyanjana Tak, Balendra Mane",51-100,0,—,$10M to $50M,High,Low,1124830,611.1694405537016,5818.877384056235,8,2302
Sangha and Sons Solutions,Science and Technology,"Punjab, India",$1B to $10B,Active,2018,Series A,Technology,4,"Akshay Palan, George Sura, Keya Ray, Niharika Lala",11-50,4,—,$5M to $10M,Medium,Low,1934567,1966.7553113506365,6135.413336080406,7,2011
Rajagopalan and Sons Technologies,FMCG,"West Bengal, India",$10B+,Active,2019,Series C,Consumer Goods,2,"Michael Sarma, Dominic Kulkarni",101-250,7,M&A,$100M to $500M,Growing,High,1392020,1803.8244255142818,7758.36477816661,3,756
Sachdeva Group Technologies,Biotechnology,"Gujarat, India",$50M to $100M,Active,2020,Seed,Biotechnology,4,"Saumya Nanda, Farhan Savant, Faqid Bandi, Amaira Samra",251-500,5,Seed,$10M to $50M,—,Low,695071,1704.8857483169372,5160.978901902211,1,231
Bhakta PLC Solutions,Cement,"Tamil Nadu, India",$10M to $50M,Active,2018,Series C,Construction,1,Avi Deol,1001-5000,1,—,$100K to $500K,High,Low,734798,752.8191799813262,4953.9034622716235,6,2150
Pandey-Ben Solutions,Oil and Gas,"Jammu and Kashmir, India",$10M to $50M,Active,2021,Seed,Energy,2,"Urvashi Sangha, Madhavi Dora",1001-5000,2,Seed,$0,—,Low,1232825,1101.4101628926946,314.62639322923417,7,185
"Bansal, Buch and Narayanan Technologies",Renewable Energy,"Nagaland, India",$1M to $10M,Active,2021,—,Energy,1,Ansh Chaudry,11-50,2,Growing,$10M to $50M,—,High,888952,1419.6018069524093,4410.707064672639,0,379
"Mishra, Saran and Sant Technologies",Banking,"Uttarakhand, India",$10B+,Active,2019,Seed,Financial Services,1,Nisha Nadig,101-250,6,Growing,$100M to $500M,High,High,92300,378.0788281600842,500.4643537153901,2,775
"Shanker, Sethi and Bera Solutions",Ayush,"Arunachal Pradesh, India",$1M to $10M,Active,2024,—,Healthcare,1,Faras Sane,101-250,4,M&A,$0,Growing,Medium,7397,1134.0396282718384,6167.569836838843,8,13
Hayre-Subramanian Labs,Power,"Meghalaya, India",$10B+,Active,2022,Series C,Energy,5,"Naveen Loyal, Hemang Chhabra, Parth Hegde, Chasmum Dhingra, David Kumer",1001-5000,3,Seed,$1M to $5M,Medium,High,351846,158.78970701150132,3993.6497523299945,10,292
Mohan PLC Pvt Ltd,Power,"Tripura, India",$1M to $10M,Active,2022,Series B,Energy,0,—,101-250,1,Growing,$0,High,Medium,1613752,209.48778059281443,4245.238136419665,3,1055
Korpal-Goyal Technologies,Manufacturing,"Karnataka, India",$100M to $500M,Active,2023,—,Manufacturing,3,"Aarnav Jain, Gunbir Tank, Eesha Devan",501-1000,3,M&A,$100K to $500K,High,High,1173804,1301.6464709005452,8067.907381982036,1,201
"Mittal, Sanghvi and Din Technologies",Automobiles,"Chhattisgarh, India",Less than $1M,Active,2020,Series B,Automotive,1,Watika Aggarwal,1-10,7,Early Stage Venture,$500K to $1M,—,Low,666575,1539.3287151938719,6855.522869229694,3,1783
"Varkey, Gupta and Brar Innovations",IT & BPM,"Telangana, India",$10M to $50M,Active,2022,IPO,Information Technology,0,—,1-10,4,Early Stage Venture,$0,Medium,High,995263,1075.7318541338327,4203.028359684202,6,701
Sarin Ltd Innovations,Medical Devices,"Mizoram, India",$1M to $10M,Active,2018,Series C,Healthcare,4,"Tanish Salvi, Teerth Jha, Gayathri Walla, Saumya Sandal",101-250,1,—,$5M to $10M,—,Medium,1923084,880.9362236689564,895.2627858999273,10,2366
Dave Ltd Labs,FMCG,"Uttar Pradesh, India",$100M to $500M,Active,2022,—,Consumer Goods,5,"Devansh Srinivas, Nitesh Suresh, Yasti Nagar, Rishi Joshi, Fiyaz Tiwari",101-250,0,—,$0,Growing,Medium,473293,1734.65707784746,1871.8573787430155,6,862
Bajaj Inc Innovations,Steel,"Jharkhand, India",$10M to $50M,Active,2017,IPO,Manufacturing,0,—,1-10,2,Seed,$100M to $500M,—,—,1858802,-13.831504640229213,6451.988783253885,5,2068
"Agarwal, Goel and Keer Technologies",Education and Training,"Chhattisgarh, India",$1M to $10M,Active,2017,IPO,Education,1,Rohan Madan,501-1000,7,Early Stage Venture,$10M to $50M,High,Medium,497570,1758.4364032098235,8139.991810495185,9,698
Bains-Patel Solutions,Ports,"Bihar, India",$1M to $10M,Active,2019,—,Transportation,0,—,251-500,0,—,$100K to $500K,Medium,Medium,247499,831.6269820496206,1500.2493644847054,10,1170
"Bansal, Konda and Prakash Innovations",Infrastructure,"Rajasthan, India",$10M to $50M,Active,2022,Series C,Infrastructure,3,"Mohammed Guha, Umang Chanda, Warhi Chakraborty",51-100,5,—,$10M to $50M,Growing,—,94916,1275.1594899662432,6538.464055627575,4,2093
Johal-Dugar Pvt Ltd,Power,"Karnataka, India",Less than $1M,Active,2020,Seed,Energy,0,—,101-250,7,—,$100M to $500M,—,Low,570195,498.7441565902136,8560.211931118609,7,1923
"Tripathi, Bhandari and Chowdhury Pvt Ltd",Agriculture and Allied Industries,"Tamil Nadu, India",$10B+,Active,2019,—,Agriculture,2,"Nandini Kalita, Kai Srivastava",251-500,1,Seed,$10M to $50M,Medium,Low,658794,1896.4686764866262,2803.4419237741045,0,284
Walla Ltd Labs,Telecommunications,"Karnataka, India",$1M to $10M,Active,2021,IPO,Telecommunications,1,Advay Menon,11-50,6,Seed,$0,—,—,1110508,1062.8876561516026,2254.8557846742447,8,2411
"Sahni, Rai and Shanker Labs",Steel,"Maharashtra, India",$10B+,Active,2022,IPO,Manufacturing,1,Aadi Chaudhary,501-1000,3,—,$50M to $100M,Growing,—,1588162,1667.69154038908,7104.182845498881,1,112
"Bali, Krishna and Wali Innovations",Biotechnology,"Haryana, India",$100M to $500M,Active,2018,Series C,Biotechnology,1,Chasmum Walia,251-500,1,Seed,$10M to $50M,Growing,Medium,1307216,1925.3310142308171,8275.6456856948,1,801
Sant PLC Innovations,Consumer Durables,"Telangana, India",Less than $1M,Active,2022,—,Consumer Goods,3,"Peter Bali, Aashi Baria, Zansi Kuruvilla",251-500,2,Early Stage Venture,$50M to $100M,—,Low,752111,101.38059660193596,7457.391809697736,4,397
Gara Inc Pvt Ltd,Real Estate,"Karnataka, India",$10M to $50M,Active,2023,IPO,Real Estate,5,"Balveer Barad, Ekaja Naik, Chatresh Chahal, Nitesh Puri, Fiyaz Bhavsar",101-250,6,Early Stage Venture,$500K to $1M,High,Medium,1137844,912.3764484007282,7415.321812025783,8,1707
Srivastava Ltd Innovations,Tourism and Hospitality,"Himachal Pradesh, India",$100M to $500M,Active,2023,Series C,Hospitality,4,"Vasudha Minhas, Girindra Rai, Yashica Anne, Diya Sarkar",251-500,6,—,$1M to $5M,—,—,223180,1635.7152947820296,5548.4212176217625,10,2158
Kulkarni PLC Solutions,Roads,"Odisha, India",$10M to $50M,Active,2023,—,Infrastructure,0,—,101-250,0,—,$500K to $1M,Growing,Medium,930083,386.69464924282204,4020.491592727737,6,1421
Ghose Ltd Innovations,Auto Components,"Manipur, India",$1B to $10B,Active,2024,IPO,Automotive,4,"Jagdish Konda, Wakeeta Dalal, Hemangini Goswami, Hemani Sem",51-100,1,Growing,$100M to $500M,—,Medium,582718,32.4303306201345,891.8330982426586,5,823
"Chanda, Kara and Mistry Pvt Ltd",Media and Entertainment,"Tripura, India",$10M to $50M,Active,2023,Seed,Media,5,"Ria Radhakrishnan, Kabir Som, Chakrika Sandhu, Robert Deo, Xavier Mishra",11-50,2,Early Stage Venture,$50M to $100M,—,Medium,43670,269.66082502149374,3507.609563451405,7,2146
Contractor Inc Innovations,Steel,"Meghalaya, India",$1M to $10M,Active,2017,Series A,Manufacturing,5,"Anita Purohit, Upadhriti Gera, Chasmum Pathak, Vedika Nigam, Samar Salvi",51-100,3,Seed,$100K to $500K,—,High,311614,871.5879790155552,2409.343297549092,7,1295
Butala-Jaggi Technologies,Retail,"Chhattisgarh, India",$50M to $100M,Active,2021,—,Commerce,3,"Yash Parekh, Zarna Shankar, Aadhya Bora",51-100,0,—,$500K to $1M,Medium,Low,1980723,157.07017435306926,9664.864484404283,10,2383
Virk-Lalla Labs,Healthcare,"Uttar Pradesh, India",$10B+,Active,2024,IPO,Healthcare,5,"Unni Virk, Ira Karpe, Abeer Rajagopalan, Adya Mohanty, Vasatika Halder",251-500,3,Seed,$5M to $10M,High,High,1531845,1445.0242570912376,5361.835212902772,3,2182
Mukhopadhyay Inc Labs,Oil and Gas,"Assam, India",$100M to $500M,Active,2022,Seed,Energy,3,"Henry Ratta, Tamanna Varghese, Saanvi Tiwari",1001-5000,4,—,$10M to $50M,Growing,High,1043519,878.0093909537152,7074.723581710866,0,909
"Palla, Iyer and Ahuja Innovations",Aviation,"Chhattisgarh, India",$50M to $100M,Active,2019,—,Transportation,0,—,101-250,0,—,$1M to $5M,High,High,1578283,853.6199785039717,5844.824960081407,0,58
Bedi-Kannan Technologies,Electronics System Design & Manufacturing,"Meghalaya, India",$1M to $10M,Active,2023,—,Electronics,4,"Tripti Dutta, Vihaan Rao, Jhalak Dara, Matthew Chakraborty",1-10,0,—,$5M to $10M,Growing,High,1422247,629.7795947684505,4238.105896191335,1,524
"Contractor, Ram and Varkey Innovations",Medical Devices,"Jharkhand, India",$100M to $500M,Active,2022,—,Healthcare,2,"Joshua Mangal, Bhavani Dhillon",51-100,2,Growing,$10M to $50M,Medium,Medium,735374,1844.7111071575873,6053.1986652398855,3,2164
Vig-Bhandari Innovations,Biotechnology,"Karnataka, India",$1M to $10M,Active,2023,—,Biotechnology,3,"Max Thakur, Vivaan Saraf, Chanchal Palla",251-500,6,Growing,$100K to $500K,Growing,Medium,1404983,1465.5802281711954,6719.532827809396,8,809
"Rai, Tripathi and Pillai Labs",Defence Manufacturing,"Assam, India",$10M to $50M,Active,2023,Series A,Defence,5,"Garima Dasgupta, Anita Ravi, Gaurang Keer, Arya Memon, Jonathan Bajaj",51-100,6,Growing,$50M to $100M,Growing,Medium,1930829,1983.6439391089675,6733.355335481536,6,1029
"Chopra, Rajagopalan and Parmar Solutions",Defence Manufacturing,"Andhra Pradesh, India",$100M to $500M,Active,2022,IPO,Defence,4,"Karan Narasimhan, Aarini Baral, Damyanti Patel, Zehaan Kaur",1001-5000,7,M&A,$5M to $10M,Medium,—,555257,1720.940005010842,6551.913706923728,3,1729
"Arora, Tailor and Choudhury Pvt Ltd",Banking,"Jammu and Kashmir, India",$10M to $50M,Active,2017,Series B,Financial Services,1,Ekanta Lal,501-1000,2,—,$50M to $100M,Growing,Medium,333529,1147.0872820580018,4068.983466517231,5,223
Saxena-Konda Labs,Healthcare,"Himachal Pradesh, India",$50M to $100M,Active,2022,—,Healthcare,4,"Siya Bal, Atharv Din, Zashil Lad, Triya Ganesan",1-10,0,—,$1M to $5M,High,Low,969796,675.3694659595243,5617.541167927142,2,672
Venkatesh-Goswami Solutions,Engineering and Capital Goods,"Tripura, India",$100M to $500M,Active,2018,Series A,Engineering,3,"Udyati Talwar, Leela Sant, Guneet Banik",1001-5000,6,Early Stage Venture,$100K to $500K,—,Low,392141,200.1071477244467,4202.008094846364,6,187
Mukhopadhyay PLC Pvt Ltd,Pharmaceuticals,"Bihar, India",$10B+,Active,2020,Seed,Pharmaceuticals,2,"Kevin Luthra, Nirja Sarraf",11-50,5,Early Stage Venture,$5M to $10M,Growing,—,50972,1182.3758087644912,9518.030968603744,10,660
Gola Ltd Labs,Defence Manufacturing,"Maharashtra, India",$50M to $100M,Active,2024,IPO,Defence,1,Rachita Balasubramanian,11-50,3,M&A,$500K to $1M,—,Low,28156,904.3436202184267,6335.054227800244,10,810
"Sastry, Nair and Banerjee Pvt Ltd",Manufacturing,"Maharashtra, India",$10B+,Active,2017,Seed,Manufacturing,0,—,51-100,7,Early Stage Venture,$500K to $1M,—,—,808628,1484.8381812914251,4441.427898816354,6,798
Garg LLC Innovations,FMCG,"Himachal Pradesh, India",$10M to $50M,Active,2020,Seed,Consumer Goods,4,"Rohan Zachariah, Bimala Dhar, Zilmil Dua, Andrew Mutti",1-10,2,Early Stage Venture,$0,—,—,1382292,1004.9794193742116,892.1663738226094,9,225
Sahni and Sons Solutions,Metals and Mining,"Meghalaya, India",$1M to $10M,Active,2022,Series C,Mining,0,—,501-1000,7,M&A,$100K to $500K,Medium,—,1862152,774.248824200553,6903.177384019175,7,1430
Goswami-Malhotra Solutions,Manufacturing,"Karnataka, India",$10M to $50M,Active,2019,IPO,Manufacturing,4,"Kamya Dhillon, Utkarsh Brahmbhatt, Omkaar Soman, Priya Chaudhuri",1001-5000,4,Seed,$10M to $50M,High,Low,1619243,1658.3726019937344,5144.42905887141,9,1528
Bhagat-Kota Pvt Ltd,Textiles,"Mizoram, India",Less than $1M,Active,2021,IPO,Textiles,0,—,501-1000,6,—,$10M to $50M,High,Low,1897278,1849.0143741102968,8199.842769669562,0,55
Anand PLC Innovations,Healthcare,"Andhra Pradesh, India",$1M to $10M,Active,2018,—,Healthcare,4,"Qushi Bose, Ridhi Ahluwalia, Odika Dara, Finn Ahluwalia",51-100,3,Seed,$100M to $500M,Growing,Medium,1707638,1453.5689410024515,9926.183269284726,10,174
Garg and Sons Solutions,Cement,"Maharashtra, India",$10M to $50M,Active,2018,—,Construction,4,"Madhavi Bhatt, Ekaraj Wali, Yatin Dhar, Harsh Chhabra",11-50,0,—,$100K to $500K,Medium,High,1555514,1784.7456664906765,4134.525510734349,9,983
Bandi-Sibal Technologies,Education and Training,"Karnataka, India",Less than $1M,Active,2024,Series C,Education,4,"Lekha Yohannan, Devansh Tella, Triya Konda, Baljiwan Dutta",51-100,6,Early Stage Venture,—,—,—,1894786,882.8374798663154,2558.254802910163,1,1989
Nadkarni Ltd Innovations,Steel,"Telangana, India",$10M to $50M,Active,2020,Series A,Manufacturing,4,"Ridhi Dass, Raagini Jha, Peter Dhillon, Irya Bumb",1001-5000,3,Growing,$50M to $100M,—,Medium,969470,183.34182159111367,9925.315016684865,9,599
Char LLC Pvt Ltd,Food Processing,"Himachal Pradesh, India",$1B to $10B,Active,2017,Seed,Food and Beverage,3,"Champak Nazareth, Aachal Loyal, Ikshita Mitra",501-1000,5,M&A,$5M to $10M,Growing,High,1776544,10.082274898460142,7751.903263711956,10,1202
"Golla, Khatri and Mani Solutions",Infrastructure,"Punjab, India",$1B to $10B,Active,2017,Seed,Infrastructure,0,—,101-250,2,Growing,$0,—,Low,1575026,140.85755422538406,6637.308428909487,8,504
"Mani, Aggarwal and Sami Labs",Education and Training,"Andhra Pradesh, India",$1M to $10M,Active,2017,Series C,Education,0,—,11-50,4,—,$500K to $1M,Growing,Low,1622921,1594.4477376154823,9203.585321398321,3,1108
Gopal Inc Innovations,Engineering and Capital Goods,"Meghalaya, India",$10M to $50M,Active,2019,—,Engineering,4,"Henry Dyal, Samaksh Bala, Wishi Amble, Sachi Rai",51-100,3,—,$5M to $10M,High,High,490125,433.0635163346034,7568.517368474438,0,2009
Garde Inc Pvt Ltd,Metals and Mining,"Karnataka, India",$50M to $100M,Active,2018,Seed,Mining,2,"Bhavya Brar, Krishna Ranganathan",1-10,4,Seed,$500K to $1M,High,Medium,510033,313.00722064392187,1677.9565320981017,10,2457
Ganesh-Rama Technologies,Automobiles,"Jammu and Kashmir, India",Less than $1M,Active,2019,Series B,Automotive,1,Gaurav Suri,11-50,2,Seed,—,Medium,Medium,724184,1877.2921093701586,9016.91815954349,4,1268
Koshy-Agrawal Technologies,Real Estate,"Punjab, India",$1M to $10M,Active,2017,Series B,Real Estate,3,"Qabil Sidhu, Anthony Sood, Brijesh Bava",51-100,6,M&A,—,—,High,1311055,555.5619639021568,1327.8372776203696,3,1162
Kohli-Goyal Technologies,Aviation,"Uttar Pradesh, India",$50M to $100M,Active,2022,—,Transportation,3,"Joshua Chadha, Dhruv Merchant, Vrinda Ganguly",251-500,1,—,$10M to $50M,High,High,691251,251.8649797861496,3225.895579767963,3,1416
Taneja-Sant Technologies,Auto Components,"Jammu and Kashmir, India",$1B to $10B,Active,2019,IPO,Automotive,3,"Dhriti Gill, Divya Deshpande, Avi Hans",51-100,6,Early Stage Venture,$0,Medium,—,117363,1296.2642753541854,1776.7129298454238,2,1944
Boase and Sons Pvt Ltd,Gems and Jewellery,"Tamil Nadu, India",$100M to $500M,Active,2021,IPO,Luxury Goods,0,—,251-500,4,Early Stage Venture,$100K to $500K,Medium,—,1587213,101.31489397388438,-56.08049798513321,0,1928
"Warrior, Sinha and Loyal Technologies",Consumer Durables,"Karnataka, India",$10M to $50M,Active,2018,Series C,Consumer Goods,3,"Wahab Raj, Raghav Barad, Lipika Dhar",251-500,4,Seed,—,Medium,—,867886,451.3146214915656,-84.08602802521115,1,1788
Vasa-Mand Innovations,Telecommunications,"West Bengal, India",$10B+,Active,2021,—,Telecommunications,0,—,101-250,4,M&A,$0,High,—,654883,1844.2300681176991,1997.270824390036,4,2439
Aurora LLC Innovations,Electronics System Design & Manufacturing,"Rajasthan, India",$1B to $10B,Active,2017,IPO,Electronics,0,—,51-100,3,Growing,$50M to $100M,High,High,1030879,993.1482866059928,2944.9395848149647,0,1057
